Description,ID,Feature,group,KO Description
"Glycine, serine and threonine metabolism",ko00260,K01754,Plaque,"E4.3.1.19, ilvA, tdcB; threonine dehydratase [EC:4.3.1.19]"
"Glycine, serine and threonine metabolism",ko00260,K01695,Plaque,trpA; tryptophan synthase alpha chain [EC:4.2.1.20]
"Glycine, serine and threonine metabolism",ko00260,K01696,Plaque,trpB; tryptophan synthase beta chain [EC:4.2.1.20]
Pyrimidine metabolism,ko00240,K00560,Plaque,"thyA, TYMS; thymidylate synthase [EC:2.1.1.45]"
Pyrimidine metabolism,ko00240,K00526,Plaque,"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
Pyrimidine metabolism,ko00240,K00254,Plaque,"DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]"
Other carbon fixation pathways,ko00720,K00297,Plaque,"metF, MTHFR; methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]"
Other carbon fixation pathways,ko00720,K13788,Plaque,pta; phosphate acetyltransferase [EC:2.3.1.8]
Other carbon fixation pathways,ko00720,K01595,Plaque,ppc; phosphoenolpyruvate carboxylase [EC:4.1.1.31]
Nucleotide metabolism,ko01232,K00560,Plaque,"thyA, TYMS; thymidylate synthase [EC:2.1.1.45]"
Nucleotide metabolism,ko01232,K00526,Plaque,"E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]"
Nucleotide metabolism,ko01232,K00942,Plaque,"gmk, GUK1; guanylate kinase [EC:2.7.4.8]"
Glucosinolate biosynthesis,ko00966,K00826,Plaque,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]"
Glucosinolate biosynthesis,ko00966,K01703,Plaque,"leuC, IPMI-L; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]"
Folate transport and metabolism,ko04981,K00560,Plaque,"thyA, TYMS; thymidylate synthase [EC:2.1.1.45]"
Folate transport and metabolism,ko04981,K00287,Plaque,"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"
Antifolate resistance,ko01523,K00560,Plaque,"thyA, TYMS; thymidylate synthase [EC:2.1.1.45]"
Antifolate resistance,ko01523,K00287,Plaque,"DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]"
Sulfur relay system,ko04122,K03635,Plaque,"MOCS2B, moaE; molybdopterin synthase catalytic subunit [EC:2.8.1.12]"
Sulfur relay system,ko04122,K03636,Plaque,"moaD, cysO; sulfur-carrier protein"
Nitrogen cycle,ko01310,K04561,Plaque,norB; nitric oxide reductase subunit B [EC:1.7.2.5]
Nitrogen cycle,ko01310,K00368,Plaque,nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
Flagellar assembly,ko02040,K02399,Abscess,flgN; flagellar biosynthesis protein FlgN
Flagellar assembly,ko02040,K02407,Abscess,fliD; flagellar hook-associated protein 2
Flagellar assembly,ko02040,K02410,Abscess,fliG; flagellar motor switch protein FliG
Flagellar assembly,ko02040,K02396,Abscess,flgK; flagellar hook-associated protein 1
Flagellar assembly,ko02040,K02411,Abscess,fliH; flagellar assembly protein FliH
Flagellar assembly,ko02040,K02400,Abscess,flhA; flagellar biosynthesis protein FlhA
Flagellar assembly,ko02040,K02387,Abscess,flgB; flagellar basal-body rod protein FlgB
Flagellar assembly,ko02040,K02389,Abscess,flgD; flagellar basal-body rod modification protein FlgD
Flagellar assembly,ko02040,K02392,Abscess,flgG; flagellar basal-body rod protein FlgG
Flagellar assembly,ko02040,K02556,Abscess,motA; chemotaxis protein MotA
Flagellar assembly,ko02040,K02422,Abscess,fliS; flagellar secretion chaperone FliS
Flagellar assembly,ko02040,K02412,Abscess,fliI; flagellum-specific ATP synthase [EC:7.4.2.8]
Flagellar assembly,ko02040,K02419,Abscess,fliP; flagellar biosynthesis protein FliP
Flagellar assembly,ko02040,K02413,Abscess,fliJ; flagellar protein FliJ
Flagellar assembly,ko02040,K02397,Abscess,flgL; flagellar hook-associated protein 3 FlgL
Flagellar assembly,ko02040,K02416,Abscess,fliM; flagellar motor switch protein FliM
Flagellar assembly,ko02040,K02421,Abscess,fliR; flagellar biosynthesis protein FliR
Flagellar assembly,ko02040,K02391,Abscess,flgF; flagellar basal-body rod protein FlgF
Flagellar assembly,ko02040,K02420,Abscess,fliQ; flagellar biosynthesis protein FliQ
Flagellar assembly,ko02040,K02417,Abscess,fliN; flagellar motor switch protein FliN
Flagellar assembly,ko02040,K02408,Abscess,fliE; flagellar hook-basal body complex protein FliE
Flagellar assembly,ko02040,K02414,Abscess,fliK; flagellar hook-length control protein FliK
Flagellar assembly,ko02040,K02409,Abscess,fliF; flagellar M-ring protein FliF
Flagellar assembly,ko02040,K02406,Abscess,"fliC, hag; flagellin"
Flagellar assembly,ko02040,K02390,Abscess,flgE; flagellar hook protein FlgE
Flagellar assembly,ko02040,K02388,Abscess,flgC; flagellar basal-body rod protein FlgC
Flagellar assembly,ko02040,K02398,Abscess,flgM; negative regulator of flagellin synthesis FlgM
Flagellar assembly,ko02040,K02405,Abscess,"fliA, whiG; RNA polymerase sigma factor FliA"
Flagellar assembly,ko02040,K02401,Abscess,flhB; flagellar biosynthesis protein FlhB
Flagellar assembly,ko02040,K02418,Abscess,"fliO, fliZ; flagellar protein FliO/FliZ"
Flagellar assembly,ko02040,K02415,Abscess,fliL; flagellar protein FliL
Bacterial chemotaxis,ko02030,K03412,Abscess,"cheB; two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]"
Bacterial chemotaxis,ko02030,K03407,Abscess,"cheA; two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]"
Bacterial chemotaxis,ko02030,K00575,Abscess,cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]
Bacterial chemotaxis,ko02030,K03408,Abscess,cheW; purine-binding chemotaxis protein CheW
Bacterial chemotaxis,ko02030,K02410,Abscess,fliG; flagellar motor switch protein FliG
Bacterial chemotaxis,ko02030,K02556,Abscess,motA; chemotaxis protein MotA
Bacterial chemotaxis,ko02030,K03409,Abscess,cheX; chemotaxis protein CheX
Bacterial chemotaxis,ko02030,K02416,Abscess,fliM; flagellar motor switch protein FliM
