"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group"
"ko00510","Metabolism","Glycan biosynthesis and metabolism","ko00510","N-Glycan biosynthesis","1/201","50/14535",0.02,1.44626865671642,0.374307944238985,0.50214397315961,0.71137062864278,0.57262032026973,"K00737",1,"Abscess"
"ko04924","Organismal Systems","Endocrine system","ko04924","Renin secretion","1/201","50/14535",0.02,1.44626865671642,0.374307944238985,0.50214397315961,0.71137062864278,0.57262032026973,"K01283",1,"Abscess"
"ko00550...273","Metabolism","Glycan biosynthesis and metabolism","ko00550","Peptidoglycan biosynthesis","1/201","55/14535",0.0181818181818182,1.31478968792402,0.27696472996839,0.535745353702968,0.741322059193642,0.596729830929866,"K21469",1,"Abscess"
"ko00740...274","Metabolism","Metabolism of cofactors and vitamins","ko00740","Riboflavin metabolism","1/201","55/14535",0.0181818181818182,1.31478968792402,0.27696472996839,0.535745353702968,0.741322059193642,0.596729830929866,"K19286",1,"Abscess"
"ko00600","Metabolism","Lipid metabolism","ko00600","Sphingolipid metabolism","1/201","57/14535",0.0175438596491228,1.26865671641791,0.240651044319749,0.548545173802301,0.74178267820993,0.597100607847002,"K07406",1,"Abscess"
"ko04922...276","Organismal Systems","Endocrine system","ko04922","Glucagon signaling pathway","1/201","57/14535",0.0175438596491228,1.26865671641791,0.240651044319749,0.548545173802301,0.74178267820993,0.597100607847002,"K00693",1,"Abscess"
"ko00071...277","Metabolism","Lipid metabolism","ko00071","Fatty acid degradation","1/201","60/14535",0.0166666666666667,1.20522388059702,0.18862582011444,0.567089425025161,0.749439541372422,0.603264027110928,"K13954",1,"Abscess"
"ko03030...278","Genetic Information Processing","Replication and repair","ko03030","DNA replication","1/201","60/14535",0.0166666666666667,1.20522388059702,0.18862582011444,0.567089425025161,0.749439541372422,0.603264027110928,"K10742",1,"Abscess"
"ko03420...279","Genetic Information Processing","Replication and repair","ko03420","Nucleotide excision repair","1/201","61/14535",0.0163934426229508,1.18546611206264,0.171886634329578,0.573100825755382,0.749439541372422,0.603264027110928,"K10844",1,"Abscess"
"ko00670...280","Metabolism","Metabolism of cofactors and vitamins","ko00670","One carbon pool by folate","1/201","65/14535",0.0153846153846154,1.11251435132032,0.107655752266272,0.596327123796389,0.749579006468624,0.603376290036663,"K00315",1,"Abscess"
"ko00970...281","Genetic Information Processing","Translation","ko00970","Aminoacyl-tRNA biosynthesis","1/201","66/14535",0.0151515151515152,1.09565807327001,0.0922319190817603,0.601934466444415,0.749579006468624,0.603376290036663,"K04566",1,"Abscess"
"ko04916","Organismal Systems","Endocrine system","ko04916","Melanogenesis","1/201","67/14535",0.0149253731343284,1.07930496769882,0.0770442887869274,0.607464300727687,0.749579006468624,0.603376290036663,"K00505",1,"Abscess"
"ko05134...283","Human Diseases","Infectious disease: bacterial","ko05134","Legionellosis","1/201","69/14535",0.0144927536231884,1.04802076573653,0.0473463280158412,0.61829569396209,0.749579006468624,0.603376290036663,"K13525",1,"Abscess"
"ko00020...284","Metabolism","Carbohydrate metabolism","ko00020","Citrate cycle (TCA cycle)","1/201","70/14535",0.0142857142857143,1.03304904051173,0.0328212836960272,0.623599341515914,0.749579006468624,0.603376290036663,"K00169",1,"Abscess"
