"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","group"
"ko00450","Metabolism","Metabolism of other amino acids","ko00450","Selenocompound metabolism","1/72","36/14535",0.0277777777777778,5.60763888888889,1.95294626361741,0.163883602562233,0.319963224050074,0.201260564550111,"K00549",1,"Plaque"
"ko00710...45","Metabolism","Energy metabolism","ko00710","Carbon fixation by Calvin cycle","1/72","37/14535",0.027027027027027,5.45608108108108,1.91482695254721,0.168035639296871,0.320440056333568,0.201560497565402,"K01595",1,"Plaque"
"ko00300...46","Metabolism","Amino acid metabolism","ko00300","Lysine biosynthesis","1/72","48/14535",0.0208333333333333,4.20572916666667,1.56959588060643,0.212387404947166,0.394149980088967,0.247924891198452,"K00674",1,"Plaque"
"ko05230...47","Human Diseases","Cancer: overview","ko05230","Central carbon metabolism in cancer","1/72","49/14535",0.0204081632653061,4.11989795918367,1.54345446923326,0.216301818341506,0.394149980088967,0.247924891198452,"K00036",1,"Plaque"
"ko01320",NA,NA,"ko01320","Sulfur cycle","1/72","52/14535",0.0192307692307692,3.88221153846154,1.46902062053335,0.227930315037646,0.406310561588848,0.2555740374564,"K01738",1,"Plaque"
"ko01503","Human Diseases","Drug resistance: antimicrobial","ko01503","Cationic antimicrobial peptide (CAMP) resistance","1/72","54/14535",0.0185185185185185,3.73842592592593,1.42242125740633,0.235587948250337,0.406938680886466,0.255969131751435,"K03673",1,"Plaque"
"ko04070","Environmental Information Processing","Signal transduction","ko04070","Phosphatidylinositol signaling system","1/72","55/14535",0.0181818181818182,3.67045454545454,1.39994794371863,0.239388629676065,0.406938680886466,0.255969131751435,"K01092",1,"Plaque"
"ko04212","Organismal Systems","Aging","ko04212","Longevity regulating pathway","1/72","56/14535",0.0178571428571429,3.60491071428571,1.37799361273183,0.243170675163864,0.406938680886466,0.255969131751435,"K04564",1,"Plaque"
"ko04213","Organismal Systems","Aging","ko04213","Longevity regulating pathway","1/72","58/14535",0.0172413793103448,3.48060344827586,1.33555471746856,0.250679218284611,0.410411773280023,0.258153746992569,"K04564",1,"Plaque"
"ko00130","Metabolism","Metabolism of cofactors and vitamins","ko00130","Ubiquinone and other terpenoid-quinone biosynthesis","1/72","64/14535",0.015625,3.154296875,1.21864132068717,0.272766867285193,0.428090672105862,0.269273978603174,"K19267",1,"Plaque"
"ko00970...54","Genetic Information Processing","Translation","ko00970","Aminoacyl-tRNA biosynthesis","1/72","66/14535",0.0151515151515152,3.05871212121212,1.18270916991566,0.279985763854877,0.428090672105862,0.269273978603174,"K04567",1,"Plaque"
"ko00220","Metabolism","Amino acid metabolism","ko00220","Arginine biosynthesis","1/72","67/14535",0.0149253731343284,3.01305970149254,1.16525087933942,0.283568666958232,0.428090672105862,0.269273978603174,"K14260",1,"Plaque"
"ko04211","Organismal Systems","Aging","ko04211","Longevity regulating pathway","1/72","68/14535",0.0147058823529412,2.96875,1.14811507615242,0.287133987388078,0.428090672105862,0.269273978603174,"K04564",1,"Plaque"
"ko00280","Metabolism","Amino acid metabolism","ko00280","Valine, leucine and isoleucine degradation","1/72","71/14535",0.0140845070422535,2.84330985915493,1.0985325930565,0.297725301364419,0.435676475856342,0.27404553680309,"K00826",1,"Plaque"
"ko04146","Cellular Processes","Transport and catabolism","ko04146","Peroxisome","1/72","74/14535",0.0135135135135135,2.72804054054054,1.05147816084639,0.308161409752047,0.435676475856342,0.27404553680309,"K04564",1,"Plaque"
"ko00562","Metabolism","Carbohydrate metabolism","ko00562","Inositol phosphate metabolism","1/72","79/14535",0.0126582278481013,2.55537974683544,0.978037593677779,0.325216099553182,0.444462002722682,0.279571734703613,"K01092",1,"Plaque"
"ko03018...60","Genetic Information Processing","Folding, sorting and degradation","ko03018","RNA degradation","1/72","79/14535",0.0126582278481013,2.55537974683544,0.978037593677779,0.325216099553182,0.444462002722682,0.279571734703613,"K08300",1,"Plaque"
"ko00052...61","Metabolism","Carbohydrate metabolism","ko00052","Galactose metabolism","1/72","81/14535",0.0123456790123457,2.49228395061728,0.950231855328139,0.331921290812159,0.446189276173722,0.280658209659979,"K00963",1,"Plaque"
"ko03008","Genetic Information Processing","Translation","ko03008","Ribosome biogenesis in eukaryotes","1/72","83/14535",0.0120481927710843,2.43222891566265,0.92324537419894,0.338560770256608,0.447773921952288,0.281654970162543,"K13288",1,"Plaque"
"ko04013","Environmental Information Processing","Signal transduction","ko04013","MAPK signaling pathway","1/72","85/14535",0.0117647058823529,2.375,0.897031864765313,0.345135172889018,0.449223558363484,0.282566808213231,"K04564",1,"Plaque"
"ko02025...64","Cellular Processes","Cellular community - prokaryotes","ko02025","Biofilm formation","1/72","90/14535",0.0111111111111111,2.24305555555556,0.834608211973475,0.36129058118771,0.459798195723512,0.289218377284366,"K01657",1,"Plaque"
