Rank,Taxon,n_pairs,n_plaque,n_abscess,median_plaque,median_abscess,mean_plaque,mean_abscess,p_value,difference_in_median,difference_in_mean,Enrichment,BH_adjusted_p_value
genus,Bacteroidetes G-3,25,25,25,3.8747398282472414e-10,1.113472703147696e-9,9.620513831001368e-10,0.0034649824318389415,4.689395123596076e-4,-7.259987203229718e-10,-0.0034649814697875585,Abscess,0.00911082481155809
genus,Bacteroidetes G-5,25,25,25,5.111727233363318e-10,1.0393464769960652e-9,8.15597477338392e-5,0.013836432726912495,0.010583547137015176,-5.281737536597334e-10,-0.013754872979178656,Abscess,0.03787795817458063
genus,Bifidobacterium,25,25,25,2.4284612901559166e-10,3.566969256233461e-10,3.7686713825863693e-4,0.002764781451087284,0.24727350200082499,-1.1385079660775446e-10,-0.0023879143128286468,Abscess,0.28499318874671353
genus,Bosea,25,25,25,1.0567472258856114e-10,1.5973587912628433e-10,8.571077703690812e-6,2.403507012427138e-4,0.1064375040898226,-5.4061156537723194e-11,-2.31779623539023e-4,Abscess,0.14621717733551387
genus,Brucella,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,1.7089126208195664e-4,0.013307365386794041,-1.7800165340179388e-11,-1.7089117462274e-4,Abscess,0.040217815391199764
genus,Bulleidia,25,25,25,1.0567472258856114e-10,1.7166396841148864e-10,2.6237764993640093e-10,7.123196530770566e-4,0.043589346935158674,-6.59892458229275e-11,-7.123193906994066e-4,Abscess,0.08120755045454219
genus,Butyrivibrio,25,25,25,2.1134944517712225e-10,3.4332793682297723e-10,5.247552998728019e-10,0.002406616905399346,0.010583547137015176,-1.3197849164585498e-10,-0.002406616380644046,Abscess,0.03787795817458063
genus,Campylobacter,25,25,25,0.012402252712773471,0.01596671951690183,0.015627714653176864,0.02331168834469467,0.29400806311173816,-0.00356446680412836,-0.007683973691517805,Abscess,0.3332091381933032
genus,Capnocytophaga,25,25,25,0.05279684551257877,0.01457010496816932,0.05049248418077903,0.025471475390548823,0.0077267098093745405,0.03822674054440946,0.025021008790230205,Plaque,0.033897823679836694
genus,Cardiobacterium,25,25,25,0.0068664596968829724,8.143685090544593e-4,0.011123102001830145,0.00795619174653928,0.5720430567000259,0.006052091187828513,0.003166910255290865,Plaque,0.6125815410330986
genus,Catonella,25,25,25,4.435676387072823e-9,0.00129474294821149,0.004129755490496284,0.002678842249503066,0.34632479159403856,-0.0012947385125351028,0.0014509132409932179,Abscess,0.38606698079335444
genus,Centipeda,25,25,25,1.1127182536456712e-10,1.4690038107737133e-10,9.676838870951409e-5,2.1085171675596257e-4,0.19651934789959508,-3.5628555712804214e-11,-1.1408332804644848e-4,Abscess,0.23863063673522258
genus,Cloacibacterium,25,25,25,1.1127182536456712e-10,1.5973587912628433e-10,9.935850448953026e-5,4.1164210926723885e-4,0.2584381791749451,-4.8464053761717216e-11,-3.122836047777086e-4,Abscess,0.2953579190570801
genus,Clostridiales F-1G-1,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,3.344763866047594e-5,0.04086222382142676,-1.7800165340179388e-11,-3.344755120125929e-5,Abscess,0.08120755045454219
genus,Clostridiales F-1G-2,25,25,25,7.044981505904076e-11,9.793358738491423e-11,1.7491843329093394e-10,4.6662301664847326e-5,0.05963483009045978,-2.7483772325873474e-11,-4.666212674641403e-5,Abscess,0.09112738081238797
genus,Clostridiales F-3G-1,25,25,25,1.4604934952466625e-10,2.288852912153182e-10,0.005900950498303471,0.001641059605497646,0.11239768319071032,-8.283594169065194e-11,0.004259890892805825,Abscess,0.15134737538551093
genus,Colibacter,25,25,25,1.8256168690583281e-10,2.861066140191477e-10,1.1212573872710747e-4,2.1834868046984924e-4,0.09004973040401204,-1.035449271133149e-10,-1.0622294174274177e-4,Abscess,0.12757045140568374
genus,Corynebacterium,25,25,25,0.010583096564517221,0.00124399427917465,0.013359069628080885,0.004000063982016725,4.2379392808617253e-4,0.009339102285342571,0.00935900564606416,Plaque,0.00911082481155809
genus,Cryptobacterium,25,25,25,1.2142306450779583e-10,1.7166396841148864e-10,0.0010367984641451577,0.0010143463097568124,0.31946605111818105,-5.024090390369281e-11,2.245215438834527e-5,Abscess,0.3590692805956415
genus,Cutibacterium,25,25,25,7.044981505904076e-11,9.793358738491423e-11,1.7491843329093394e-10,5.858223432850228e-4,0.05963483009045978,-2.7483772325873474e-11,-5.858221683665895e-4,Abscess,0.09112738081238797
genus,Desulfobulbus,25,25,25,1.0567472258856114e-10,1.5973587912628433e-10,2.6237764993640093e-10,4.6535147222567596e-4,0.012337440392892186,-5.4061156537723194e-11,-4.65351209848026e-4,Abscess,0.040217815391199764
genus,Desulfovibrio,25,25,25,7.044981505904076e-11,1.0605014573939953e-10,1.7491843329093394e-10,4.7474136739243395e-5,0.04086222382142676,-3.5600330680358776e-11,-4.74739618208101e-5,Abscess,0.08120755045454219
genus,Dialister,25,25,25,1.520158339602669e-9,0.01144103068433383,0.0015796418625640834,0.021230535668969697,5.729961568586517e-4,-0.011441029164175491,-0.019650893806405615,Abscess,0.00974093466659708
genus,Dietzia,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,6.927347543135982e-5,0.04086222382142676,-1.7800165340179388e-11,-6.927338797214318e-5,Abscess,0.08120755045454219
genus,Eggerthia,25,25,25,3.522490752952038e-11,5.3025072869699766e-11,8.745921664546697e-11,2.4277157957660307e-4,0.027358330156160644,-1.7800165340179388e-11,-2.4277149211738642e-4,Abscess,0.0676496891134154
genus,Eikenella,25,25,25,0.001012556508795792,1.1654985908992017e-8,0.0019911737725019406,0.002330085408019427,0.686504181787592,0.001012544853809883,-3.389116355174862e-4,Plaque,0.7237563466907947
genus,Enterobacter,25,25,25,3.522490752952038e-11,4.8966793692457115e-11,2.0421158677424647e-4,1.187697557656369e-10,0.07142542948962954,-1.3741886162936737e-11,2.042114680044907e-4,Abscess,0.10333891926159168
